"Laikotarpis","Rodiklis","Amžius","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Vyrai ir moterys","asmenys","28500"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Vyrai","asmenys","14560"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","4","Miestas ir kaimas","Moterys","asmenys","13940"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Vyrai ir moterys","asmenys","29404"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Vyrai","asmenys","15093"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Moterys","asmenys","14311"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Vyrai ir moterys","asmenys","29407"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Vyrai","asmenys","15169"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Moterys","asmenys","14238"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Vyrai ir moterys","asmenys","29625"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Vyrai","asmenys","15291"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Moterys","asmenys","14334"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Vyrai ir moterys","asmenys","29713"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Vyrai","asmenys","15314"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","5","Miestas ir kaimas","Moterys","asmenys","14399"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Vyrai ir moterys","asmenys","28683"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Vyrai","asmenys","14586"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Moterys","asmenys","14097"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Vyrai ir moterys","asmenys","28399"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Vyrai","asmenys","14595"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Moterys","asmenys","13804"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Vyrai ir moterys","asmenys","29728"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Vyrai","asmenys","15329"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Moterys","asmenys","14399"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Vyrai ir moterys","asmenys","31105"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Vyrai","asmenys","16004"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","6","Miestas ir kaimas","Moterys","asmenys","15101"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Vyrai ir moterys","asmenys","28989"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Vyrai","asmenys","14828"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Moterys","asmenys","14161"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Vyrai ir moterys","asmenys","27720"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Vyrai","asmenys","14088"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Moterys","asmenys","13632"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Vyrai ir moterys","asmenys","28681"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Vyrai","asmenys","14723"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Moterys","asmenys","13958"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Vyrai ir moterys","asmenys","30492"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Vyrai","asmenys","15707"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","7","Miestas ir kaimas","Moterys","asmenys","14785"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Vyrai ir moterys","asmenys","28698"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Vyrai","asmenys","14836"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Moterys","asmenys","13862"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Vyrai ir moterys","asmenys","28517"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Vyrai","asmenys","14599"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Moterys","asmenys","13918"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Vyrai ir moterys","asmenys","27954"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Vyrai","asmenys","14215"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Moterys","asmenys","13739"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Vyrai ir moterys","asmenys","29535"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Vyrai","asmenys","15153"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","8","Miestas ir kaimas","Moterys","asmenys","14382"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Vyrai ir moterys","asmenys","28738"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Vyrai","asmenys","14703"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Moterys","asmenys","14035"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Vyrai ir moterys","asmenys","28597"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Vyrai","asmenys","14800"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Moterys","asmenys","13797"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Vyrai ir moterys","asmenys","28701"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Vyrai","asmenys","14705"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Moterys","asmenys","13996"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Vyrai ir moterys","asmenys","28781"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Vyrai","asmenys","14645"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","9","Miestas ir kaimas","Moterys","asmenys","14136"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Vyrai ir moterys","asmenys","29000"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Vyrai","asmenys","14866"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Moterys","asmenys","14134"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Vyrai ir moterys","asmenys","29733"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Vyrai","asmenys","15173"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Moterys","asmenys","14560"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Vyrai ir moterys","asmenys","28735"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Vyrai","asmenys","14875"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Moterys","asmenys","13860"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Vyrai ir moterys","asmenys","29515"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Vyrai","asmenys","15108"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","10","Miestas ir kaimas","Moterys","asmenys","14407"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Vyrai ir moterys","asmenys","27350"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Vyrai","asmenys","14013"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Moterys","asmenys","13337"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Vyrai ir moterys","asmenys","30306"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Vyrai","asmenys","15489"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Moterys","asmenys","14817"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Vyrai ir moterys","asmenys","29855"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Vyrai","asmenys","15237"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Moterys","asmenys","14618"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Vyrai ir moterys","asmenys","29468"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Vyrai","asmenys","15229"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","11","Miestas ir kaimas","Moterys","asmenys","14239"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Vyrai ir moterys","asmenys","25635"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Vyrai","asmenys","13123"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Moterys","asmenys","12512"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Vyrai ir moterys","asmenys","28651"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Vyrai","asmenys","14701"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Moterys","asmenys","13950"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Vyrai ir moterys","asmenys","30422"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Vyrai","asmenys","15538"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Moterys","asmenys","14884"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Vyrai ir moterys","asmenys","30524"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Vyrai","asmenys","15570"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","12","Miestas ir kaimas","Moterys","asmenys","14954"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Vyrai ir moterys","asmenys","25367"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Vyrai","asmenys","12883"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Moterys","asmenys","12484"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Vyrai ir moterys","asmenys","26808"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Vyrai","asmenys","13713"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Moterys","asmenys","13095"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Vyrai ir moterys","asmenys","28746"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Vyrai","asmenys","14757"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Moterys","asmenys","13989"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Vyrai ir moterys","asmenys","31118"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Vyrai","asmenys","15877"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","13","Miestas ir kaimas","Moterys","asmenys","15241"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Vyrai ir moterys","asmenys","25290"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Vyrai","asmenys","12924"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Moterys","asmenys","12366"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Vyrai ir moterys","asmenys","26284"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Vyrai","asmenys","13323"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Moterys","asmenys","12961"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Vyrai ir moterys","asmenys","26891"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Vyrai","asmenys","13748"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Moterys","asmenys","13143"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Vyrai ir moterys","asmenys","29360"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Vyrai","asmenys","15036"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","14","Miestas ir kaimas","Moterys","asmenys","14324"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Vyrai ir moterys","asmenys","25288"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Vyrai","asmenys","12887"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Moterys","asmenys","12401"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Vyrai ir moterys","asmenys","25989"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Vyrai","asmenys","13236"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Moterys","asmenys","12753"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Vyrai ir moterys","asmenys","26336"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Vyrai","asmenys","13350"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Moterys","asmenys","12986"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Vyrai ir moterys","asmenys","27451"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Vyrai","asmenys","14033"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","15","Miestas ir kaimas","Moterys","asmenys","13418"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Vyrai ir moterys","asmenys","25547"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Vyrai","asmenys","13156"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Moterys","asmenys","12391"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Vyrai ir moterys","asmenys","25868"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Vyrai","asmenys","13200"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Moterys","asmenys","12668"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Vyrai ir moterys","asmenys","26009"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Vyrai","asmenys","13247"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Moterys","asmenys","12762"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Vyrai ir moterys","asmenys","27210"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Vyrai","asmenys","13789"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","16","Miestas ir kaimas","Moterys","asmenys","13421"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Vyrai ir moterys","asmenys","25242"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Vyrai","asmenys","12987"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Moterys","asmenys","12255"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Vyrai ir moterys","asmenys","26014"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Vyrai","asmenys","13388"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Moterys","asmenys","12626"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Vyrai ir moterys","asmenys","25887"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Vyrai","asmenys","13213"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Moterys","asmenys","12674"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Vyrai ir moterys","asmenys","26878"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Vyrai","asmenys","13705"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","17","Miestas ir kaimas","Moterys","asmenys","13173"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Vyrai ir moterys","asmenys","26539"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Vyrai","asmenys","13512"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Moterys","asmenys","13027"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Vyrai ir moterys","asmenys","25580"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Vyrai","asmenys","13160"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Moterys","asmenys","12420"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Vyrai ir moterys","asmenys","25935"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Vyrai","asmenys","13325"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Moterys","asmenys","12610"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Vyrai ir moterys","asmenys","26420"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","18","Miestas ir kaimas","Vyrai","asmenys","13515"
